age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
57,technician,married,primary,no,0,no,no,unknown,98,1,-1,0,unknown,no
56,technician,divorced,unknown,no,56,yes,no,unknown,439,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,26,yes,no,unknown,79,1,-1,0,unknown,no
52,technician,married,tertiary,no,7,no,yes,unknown,175,1,-1,0,unknown,no
55,services,married,secondary,no,2476,yes,no,unknown,579,1,-1,0,unknown,yes
55,management,married,unknown,no,1185,no,no,unknown,677,1,-1,0,unknown,no
55,admin.,single,secondary,no,802,yes,yes,unknown,100,2,-1,0,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,unknown,163,1,-1,0,unknown,no
57,unemployed,married,tertiary,no,42,no,no,unknown,46,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,unknown,98,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,8,yes,no,unknown,157,2,-1,0,unknown,no
54,blue-collar,married,primary,no,348,yes,no,unknown,579,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,-19,yes,no,unknown,163,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,1883,yes,no,unknown,57,1,-1,0,unknown,no
60,retired,divorced,secondary,no,216,yes,no,unknown,238,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,unknown,93,3,-1,0,unknown,no
52,management,married,tertiary,no,271,yes,no,unknown,99,1,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,240,1,-1,0,unknown,no
54,admin.,married,tertiary,no,184,no,no,unknown,673,2,-1,0,unknown,yes
53,entrepreneur,married,unknown,no,19,yes,no,unknown,252,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,92,yes,no,unknown,130,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,1151,yes,no,unknown,412,1,-1,0,unknown,no
54,services,married,secondary,no,214,yes,no,unknown,458,2,-1,0,unknown,no
51,management,married,secondary,no,1161,yes,no,unknown,717,1,-1,0,unknown,no
58,retired,married,primary,no,235,yes,no,unknown,167,1,-1,0,unknown,no
54,management,married,secondary,no,4080,no,no,unknown,140,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,172,1,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,142,2,-1,0,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,82,2,-1,0,unknown,no
53,retired,married,secondary,no,330,yes,no,unknown,216,2,-1,0,unknown,no
59,housemaid,divorced,primary,no,195,no,no,unknown,366,2,-1,0,unknown,no
54,blue-collar,married,primary,no,-41,yes,no,unknown,288,1,-1,0,unknown,no
53,unemployed,married,unknown,no,13,no,no,unknown,410,3,-1,0,unknown,no
55,retired,married,secondary,no,0,no,yes,unknown,136,1,-1,0,unknown,no
58,management,married,unknown,no,1065,yes,no,unknown,213,3,-1,0,unknown,no
53,services,divorced,secondary,no,1467,yes,no,unknown,124,1,-1,0,unknown,no
57,entrepreneur,married,secondary,no,294,yes,no,unknown,746,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,unknown,121,1,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,247,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,315,yes,no,unknown,181,2,-1,0,unknown,no
51,services,married,secondary,no,2248,yes,no,unknown,714,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,0,yes,yes,unknown,181,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,73,3,-1,0,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,unknown,611,2,-1,0,unknown,no
57,technician,married,secondary,no,1078,yes,no,unknown,10,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,no,155,no,no,unknown,118,3,-1,0,unknown,no
59,retired,married,secondary,no,319,yes,no,unknown,143,3,-1,0,unknown,no
54,technician,married,tertiary,no,258,no,no,unknown,310,4,-1,0,unknown,no
58,blue-collar,married,primary,no,76,yes,no,unknown,156,2,-1,0,unknown,no
54,technician,single,unknown,no,447,yes,no,unknown,742,2,-1,0,unknown,no
54,management,married,tertiary,no,0,no,no,unknown,120,2,-1,0,unknown,no
56,technician,divorced,primary,no,13,yes,no,unknown,357,2,-1,0,unknown,no
57,technician,married,secondary,no,792,yes,no,unknown,65,2,-1,0,unknown,no
51,admin.,married,secondary,no,531,yes,no,unknown,267,2,-1,0,unknown,no
57,retired,married,secondary,no,211,yes,no,unknown,248,2,-1,0,unknown,no
53,services,married,unknown,no,257,yes,no,unknown,209,2,-1,0,unknown,no
54,management,married,tertiary,no,313,yes,no,unknown,83,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,89,yes,no,unknown,106,3,-1,0,unknown,no
56,admin.,married,secondary,no,353,yes,no,unknown,106,2,-1,0,unknown,no
54,technician,married,unknown,no,851,yes,no,unknown,108,2,-1,0,unknown,no
55,services,divorced,primary,no,96,yes,yes,unknown,311,2,-1,0,unknown,no
51,technician,single,secondary,no,0,yes,no,unknown,364,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,0,yes,no,unknown,173,2,-1,0,unknown,no
55,management,single,tertiary,no,115,no,no,unknown,111,4,-1,0,unknown,no
57,technician,married,unknown,no,206,yes,no,unknown,216,3,-1,0,unknown,no
58,management,single,tertiary,no,1387,yes,no,unknown,174,5,-1,0,unknown,no
53,technician,married,secondary,no,56,yes,yes,unknown,152,2,-1,0,unknown,no
51,admin.,single,secondary,yes,-2,no,no,unknown,402,3,-1,0,unknown,no
53,services,married,unknown,no,18,no,no,unknown,503,2,-1,0,unknown,no
55,management,married,tertiary,no,685,yes,no,unknown,174,3,-1,0,unknown,no
59,unknown,divorced,unknown,no,27,no,no,unknown,347,3,-1,0,unknown,no
59,admin.,married,secondary,no,230,yes,no,unknown,190,3,-1,0,unknown,no
55,blue-collar,married,secondary,no,224,yes,no,unknown,232,1,-1,0,unknown,no
58,services,married,secondary,no,1667,yes,yes,unknown,85,1,-1,0,unknown,no
57,technician,married,unknown,no,345,yes,no,unknown,125,1,-1,0,unknown,no
56,management,married,tertiary,no,830,yes,yes,unknown,1201,1,-1,0,unknown,yes
58,blue-collar,divorced,unknown,no,29,yes,no,unknown,253,1,-1,0,unknown,no
60,retired,divorced,secondary,no,545,yes,no,unknown,1030,1,-1,0,unknown,yes
52,technician,married,unknown,no,7,no,no,unknown,203,2,-1,0,unknown,no
58,retired,married,tertiary,no,0,no,no,unknown,393,1,-1,0,unknown,no
51,blue-collar,married,primary,no,230,yes,no,unknown,673,1,-1,0,unknown,no
52,blue-collar,divorced,primary,no,55,yes,yes,unknown,186,1,-1,0,unknown,no
54,blue-collar,married,primary,no,2102,yes,no,unknown,76,1,-1,0,unknown,no
55,admin.,married,secondary,no,131,yes,no,unknown,744,1,-1,0,unknown,no
55,admin.,married,secondary,no,183,yes,no,unknown,150,1,-1,0,unknown,no
58,technician,divorced,secondary,no,469,no,no,unknown,196,1,-1,0,unknown,no
51,admin.,divorced,secondary,no,228,yes,no,unknown,136,1,-1,0,unknown,no
58,blue-collar,divorced,secondary,no,-11,no,no,unknown,112,1,-1,0,unknown,no
57,retired,single,secondary,no,1640,no,yes,unknown,204,4,-1,0,unknown,no
55,blue-collar,married,secondary,no,52,yes,no,unknown,182,1,-1,0,unknown,no
51,blue-collar,married,primary,no,1127,yes,no,unknown,47,1,-1,0,unknown,no
54,management,divorced,primary,no,0,no,no,unknown,472,1,-1,0,unknown,no
59,management,divorced,tertiary,no,-76,yes,yes,unknown,264,1,-1,0,unknown,no
55,unemployed,married,tertiary,no,5345,no,no,unknown,278,1,-1,0,unknown,no
57,retired,divorced,secondary,no,-331,yes,no,unknown,531,1,-1,0,unknown,no
60,retired,married,secondary,yes,15,no,no,unknown,80,1,-1,0,unknown,no
58,retired,married,secondary,no,5435,yes,no,unknown,118,1,-1,0,unknown,no
55,unemployed,divorced,secondary,no,387,yes,no,unknown,918,1,-1,0,unknown,yes
52,admin.,married,secondary,no,484,yes,no,unknown,128,1,-1,0,unknown,no
53,retired,married,primary,no,136,yes,no,unknown,267,2,-1,0,unknown,no
52,admin.,married,secondary,no,1236,yes,no,unknown,247,1,-1,0,unknown,no
59,blue-collar,divorced,unknown,no,124,yes,no,unknown,26,1,-1,0,unknown,no
56,services,married,secondary,no,473,yes,no,unknown,416,1,-1,0,unknown,no
56,admin.,divorced,secondary,no,778,yes,no,unknown,149,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,3165,no,no,unknown,26,1,-1,0,unknown,no
59,services,divorced,secondary,no,0,yes,yes,unknown,97,1,-1,0,unknown,no
57,blue-collar,married,primary,no,5431,yes,yes,unknown,383,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,1602,yes,no,unknown,427,1,-1,0,unknown,no
52,technician,married,unknown,no,0,no,no,unknown,195,1,-1,0,unknown,no
54,services,married,secondary,no,193,no,no,unknown,179,1,-1,0,unknown,no
61,retired,married,secondary,no,195,yes,yes,unknown,179,1,-1,0,unknown,no
53,entrepreneur,married,secondary,no,288,no,no,unknown,69,1,-1,0,unknown,no
53,blue-collar,married,primary,no,25,yes,no,unknown,266,3,-1,0,unknown,no
56,technician,divorced,secondary,no,99,yes,no,unknown,155,2,-1,0,unknown,no
55,services,divorced,primary,no,2298,yes,no,unknown,162,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,840,yes,no,unknown,310,2,-1,0,unknown,no
55,services,divorced,secondary,no,141,yes,no,unknown,262,2,-1,0,unknown,no
54,services,married,secondary,yes,0,yes,no,unknown,138,3,-1,0,unknown,no
56,blue-collar,married,primary,no,5,yes,yes,unknown,407,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,50,yes,yes,unknown,121,1,-1,0,unknown,no
51,blue-collar,married,primary,no,653,yes,yes,unknown,208,1,-1,0,unknown,no
55,services,married,primary,no,255,yes,no,unknown,285,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,3397,yes,no,unknown,231,1,-1,0,unknown,no
59,retired,married,primary,no,-119,yes,no,unknown,289,1,-1,0,unknown,no
54,technician,divorced,secondary,no,21,yes,no,unknown,381,2,-1,0,unknown,no
56,admin.,divorced,unknown,no,4246,yes,no,unknown,304,2,-1,0,unknown,no
52,entrepreneur,married,tertiary,no,-184,yes,yes,unknown,392,2,-1,0,unknown,no
52,services,married,secondary,no,660,no,no,unknown,201,2,-1,0,unknown,no
52,blue-collar,divorced,primary,yes,-183,yes,no,unknown,145,1,-1,0,unknown,no
55,management,single,secondary,no,220,yes,no,unknown,328,2,-1,0,unknown,no
60,self-employed,married,primary,no,46,yes,no,unknown,202,4,-1,0,unknown,no
54,services,married,secondary,no,510,yes,no,unknown,196,2,-1,0,unknown,no
53,admin.,married,secondary,no,244,yes,yes,unknown,197,2,-1,0,unknown,no
57,management,married,tertiary,no,2142,yes,no,unknown,251,3,-1,0,unknown,no
56,retired,divorced,primary,no,4,yes,no,unknown,31,3,-1,0,unknown,no
53,retired,married,secondary,no,303,yes,no,unknown,593,2,-1,0,unknown,no
54,technician,divorced,secondary,no,83,yes,no,unknown,190,3,-1,0,unknown,no
58,management,married,tertiary,no,68,yes,no,unknown,172,5,-1,0,unknown,no
52,blue-collar,married,primary,no,58,yes,no,unknown,213,3,-1,0,unknown,no
60,retired,married,primary,no,364,yes,no,unknown,631,2,-1,0,unknown,no
51,blue-collar,divorced,primary,no,325,yes,no,unknown,254,2,-1,0,unknown,no
55,technician,married,secondary,no,0,no,no,unknown,160,3,-1,0,unknown,no
55,retired,married,secondary,no,143,yes,no,unknown,42,3,-1,0,unknown,no
57,blue-collar,married,primary,no,162,yes,no,unknown,155,2,-1,0,unknown,no
53,management,married,tertiary,no,115,yes,no,unknown,336,3,-1,0,unknown,no
57,blue-collar,married,unknown,no,807,yes,no,unknown,211,2,-1,0,unknown,no
56,self-employed,married,unknown,no,7,no,no,unknown,305,2,-1,0,unknown,no
54,blue-collar,married,secondary,no,254,yes,no,unknown,66,2,-1,0,unknown,no
55,unemployed,married,tertiary,no,383,no,no,unknown,343,3,-1,0,unknown,no
55,housemaid,divorced,tertiary,no,6920,yes,no,unknown,406,3,-1,0,unknown,no
59,services,married,secondary,no,307,yes,yes,unknown,250,7,-1,0,unknown,no
57,technician,married,secondary,no,402,yes,no,unknown,153,3,-1,0,unknown,no
51,blue-collar,divorced,secondary,no,421,yes,no,unknown,216,2,-1,0,unknown,no
55,technician,single,tertiary,no,92,yes,no,unknown,118,3,-1,0,unknown,no
51,services,divorced,secondary,no,-69,yes,no,unknown,216,3,-1,0,unknown,no
57,technician,married,unknown,no,1617,yes,no,unknown,96,2,-1,0,unknown,no
59,retired,married,secondary,no,836,yes,no,unknown,106,1,-1,0,unknown,no
56,retired,married,secondary,no,0,yes,no,unknown,333,4,-1,0,unknown,no
56,retired,single,primary,no,223,yes,no,unknown,97,1,-1,0,unknown,no
57,technician,married,secondary,no,197,no,no,unknown,32,1,-1,0,unknown,no
57,services,married,secondary,no,1,no,no,unknown,852,1,-1,0,unknown,no
58,services,divorced,secondary,no,1109,yes,yes,unknown,180,1,-1,0,unknown,no
55,retired,married,secondary,no,102,yes,no,unknown,74,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,-203,yes,no,unknown,139,1,-1,0,unknown,no
54,management,married,tertiary,yes,-248,yes,yes,unknown,112,1,-1,0,unknown,no
53,admin.,divorced,unknown,no,236,yes,no,unknown,354,1,-1,0,unknown,no
52,self-employed,married,secondary,no,273,no,no,unknown,227,1,-1,0,unknown,no
55,management,divorced,tertiary,no,552,no,no,unknown,241,2,-1,0,unknown,no
53,services,divorced,primary,no,-291,yes,yes,unknown,591,1,-1,0,unknown,yes
59,blue-collar,married,secondary,no,202,yes,no,unknown,173,1,-1,0,unknown,no
59,blue-collar,married,primary,no,229,yes,yes,unknown,19,1,-1,0,unknown,no
52,admin.,single,secondary,no,545,yes,no,unknown,260,1,-1,0,unknown,no
51,blue-collar,married,unknown,no,37,yes,no,unknown,256,6,-1,0,unknown,no
57,self-employed,married,primary,no,1013,yes,no,unknown,448,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,1268,yes,no,unknown,223,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,-98,yes,no,unknown,423,1,-1,0,unknown,no
55,retired,married,primary,no,-90,yes,yes,unknown,634,2,-1,0,unknown,no
54,blue-collar,married,secondary,no,-932,yes,no,unknown,799,1,-1,0,unknown,no
52,admin.,married,secondary,no,31,yes,no,unknown,120,1,-1,0,unknown,no
53,blue-collar,single,secondary,no,156,yes,yes,unknown,259,4,-1,0,unknown,no
51,technician,married,secondary,no,220,yes,no,unknown,421,2,-1,0,unknown,no
57,retired,married,secondary,no,502,yes,no,unknown,229,3,-1,0,unknown,no
57,retired,married,tertiary,no,906,yes,no,unknown,117,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,732,yes,no,unknown,530,2,-1,0,unknown,no
58,retired,married,secondary,no,268,yes,no,unknown,516,1,-1,0,unknown,no
60,retired,married,secondary,no,42,yes,yes,unknown,386,2,-1,0,unknown,no
52,admin.,married,primary,no,270,yes,no,unknown,294,2,-1,0,unknown,no
51,blue-collar,married,primary,no,1466,yes,no,unknown,406,2,-1,0,unknown,no
52,blue-collar,married,tertiary,no,297,yes,no,unknown,55,1,-1,0,unknown,no
53,services,married,primary,no,46,yes,no,unknown,274,1,-1,0,unknown,no
52,services,divorced,secondary,no,220,yes,no,unknown,143,3,-1,0,unknown,no
52,entrepreneur,divorced,primary,no,278,yes,no,unknown,688,2,-1,0,unknown,no
58,management,married,tertiary,no,211,no,no,unknown,103,2,-1,0,unknown,no
52,blue-collar,divorced,primary,no,196,yes,no,unknown,119,3,-1,0,unknown,no
60,blue-collar,divorced,secondary,no,1310,no,no,unknown,152,2,-1,0,unknown,no
56,blue-collar,married,primary,no,862,yes,yes,unknown,198,2,-1,0,unknown,no
51,management,married,primary,no,98,yes,no,unknown,114,2,-1,0,unknown,no
52,technician,single,secondary,no,-181,yes,no,unknown,94,2,-1,0,unknown,no
58,technician,married,secondary,no,786,yes,no,unknown,165,3,-1,0,unknown,no
59,blue-collar,married,primary,no,10,yes,no,unknown,133,3,-1,0,unknown,no
56,management,married,primary,no,-24,yes,no,unknown,305,3,-1,0,unknown,no
54,technician,single,secondary,no,99,yes,no,unknown,283,3,-1,0,unknown,no
51,technician,married,secondary,no,221,yes,no,unknown,139,3,-1,0,unknown,no
59,housemaid,divorced,unknown,no,873,yes,no,unknown,152,3,-1,0,unknown,no
52,technician,married,unknown,no,133,yes,no,unknown,253,8,-1,0,unknown,no
52,blue-collar,divorced,primary,no,-57,yes,no,unknown,114,3,-1,0,unknown,no
57,technician,divorced,secondary,no,2710,yes,yes,unknown,333,1,-1,0,unknown,no
59,retired,divorced,primary,no,137,yes,yes,unknown,66,3,-1,0,unknown,no
57,retired,divorced,secondary,no,8266,yes,no,unknown,71,1,-1,0,unknown,no
56,services,married,primary,no,219,yes,no,unknown,130,4,-1,0,unknown,no
56,management,married,primary,no,93,yes,no,unknown,282,2,-1,0,unknown,no
54,technician,divorced,secondary,no,1904,yes,yes,unknown,280,3,-1,0,unknown,no
59,retired,married,unknown,no,0,no,no,unknown,425,6,-1,0,unknown,no
52,blue-collar,married,secondary,no,46,yes,no,unknown,132,1,-1,0,unknown,no
57,retired,married,primary,no,207,yes,no,unknown,193,1,-1,0,unknown,no
56,management,divorced,tertiary,no,177,yes,no,unknown,1040,1,-1,0,unknown,no
51,management,married,primary,yes,57,yes,yes,unknown,61,1,-1,0,unknown,no
55,blue-collar,single,tertiary,no,325,yes,no,unknown,693,1,-1,0,unknown,no
51,retired,married,secondary,no,226,yes,yes,unknown,418,1,-1,0,unknown,no
53,unemployed,married,secondary,no,582,yes,no,unknown,96,2,-1,0,unknown,no
61,blue-collar,married,primary,no,734,yes,no,unknown,204,1,-1,0,unknown,no
55,technician,married,unknown,no,84,yes,no,unknown,166,1,-1,0,unknown,no
58,retired,married,tertiary,no,44,yes,no,unknown,12,2,-1,0,unknown,no
57,admin.,divorced,secondary,no,3058,yes,no,unknown,268,1,-1,0,unknown,no
60,retired,married,primary,no,-2,yes,no,unknown,75,1,-1,0,unknown,no
57,management,married,tertiary,no,1341,yes,no,unknown,339,2,-1,0,unknown,no
52,technician,married,secondary,no,291,no,no,unknown,143,1,-1,0,unknown,no
55,unemployed,single,tertiary,no,1513,yes,no,unknown,60,1,-1,0,unknown,no
54,services,married,secondary,no,841,yes,no,unknown,284,4,-1,0,unknown,no
51,blue-collar,married,unknown,no,125,yes,no,unknown,102,2,-1,0,unknown,no
55,entrepreneur,married,primary,no,-24,yes,no,unknown,176,1,-1,0,unknown,no
57,management,married,tertiary,no,2261,yes,no,unknown,1007,1,-1,0,unknown,no
51,admin.,divorced,secondary,no,340,yes,no,unknown,186,1,-1,0,unknown,no
52,management,single,tertiary,yes,0,no,no,unknown,98,1,-1,0,unknown,no
58,blue-collar,married,primary,no,5,no,no,unknown,177,2,-1,0,unknown,no
51,blue-collar,married,primary,no,0,no,no,unknown,384,1,-1,0,unknown,no
51,admin.,divorced,secondary,no,115,yes,yes,unknown,136,1,-1,0,unknown,no
60,retired,married,primary,no,414,no,no,unknown,395,1,-1,0,unknown,no
59,retired,divorced,tertiary,no,381,yes,no,unknown,422,4,-1,0,unknown,no
53,blue-collar,divorced,primary,no,255,yes,no,unknown,206,2,-1,0,unknown,no
60,technician,married,unknown,no,0,yes,no,unknown,77,1,-1,0,unknown,no
58,self-employed,divorced,secondary,no,613,yes,no,unknown,154,2,-1,0,unknown,no
57,entrepreneur,married,unknown,no,618,yes,no,unknown,10,7,-1,0,unknown,no
53,management,married,tertiary,no,1786,yes,no,unknown,66,2,-1,0,unknown,no
55,entrepreneur,married,primary,no,298,yes,no,unknown,144,3,-1,0,unknown,no
55,blue-collar,married,primary,no,332,yes,no,unknown,318,2,-1,0,unknown,no
57,blue-collar,divorced,primary,no,-176,yes,no,unknown,275,1,-1,0,unknown,no
60,blue-collar,divorced,primary,no,7601,yes,no,unknown,285,1,-1,0,unknown,no
51,management,married,tertiary,no,751,no,no,unknown,261,5,-1,0,unknown,no
55,blue-collar,married,primary,no,82,yes,no,unknown,292,2,-1,0,unknown,no
57,admin.,married,secondary,no,1216,yes,no,unknown,255,6,-1,0,unknown,no
59,entrepreneur,married,tertiary,no,-820,no,no,unknown,43,2,-1,0,unknown,no
55,management,married,tertiary,no,1288,yes,no,unknown,67,2,-1,0,unknown,no
59,retired,divorced,primary,no,-138,yes,yes,unknown,89,4,-1,0,unknown,no
52,blue-collar,married,secondary,no,557,no,no,unknown,111,3,-1,0,unknown,no
53,blue-collar,married,secondary,no,359,no,yes,unknown,238,8,-1,0,unknown,no
53,blue-collar,married,secondary,no,175,yes,no,unknown,49,4,-1,0,unknown,no
53,self-employed,married,secondary,no,468,yes,no,unknown,89,5,-1,0,unknown,no
53,management,married,tertiary,no,2124,yes,no,unknown,123,2,-1,0,unknown,no
51,blue-collar,married,primary,no,202,yes,no,unknown,200,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,-17,yes,no,unknown,37,3,-1,0,unknown,no
56,technician,divorced,secondary,no,397,yes,no,unknown,185,7,-1,0,unknown,no
52,management,divorced,secondary,no,123,no,no,unknown,306,2,-1,0,unknown,no
54,unemployed,married,secondary,no,23,yes,no,unknown,27,3,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,145,yes,no,unknown,193,1,-1,0,unknown,no
58,management,married,secondary,no,771,no,no,unknown,126,3,-1,0,unknown,no
60,blue-collar,married,primary,no,136,yes,no,unknown,43,2,-1,0,unknown,no
56,technician,single,primary,no,230,yes,no,unknown,122,4,-1,0,unknown,no
52,self-employed,single,tertiary,no,458,yes,yes,unknown,132,5,-1,0,unknown,no
51,blue-collar,single,primary,no,368,yes,no,unknown,205,1,-1,0,unknown,no
53,entrepreneur,married,secondary,no,-118,yes,no,unknown,101,3,-1,0,unknown,no
51,blue-collar,married,secondary,no,-286,yes,no,unknown,70,1,-1,0,unknown,no
51,unemployed,divorced,secondary,no,370,no,no,unknown,167,1,-1,0,unknown,no
52,services,divorced,primary,no,146,yes,no,unknown,93,1,-1,0,unknown,no
51,management,single,tertiary,no,417,yes,no,unknown,18,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,1407,yes,no,unknown,232,1,-1,0,unknown,no
59,management,single,secondary,no,181,yes,no,unknown,485,1,-1,0,unknown,no
54,retired,married,secondary,no,785,yes,no,unknown,86,2,-1,0,unknown,no
54,admin.,married,secondary,no,222,yes,no,unknown,45,2,-1,0,unknown,no
59,blue-collar,single,primary,no,96,yes,no,unknown,123,1,-1,0,unknown,no
60,management,divorced,unknown,no,404,yes,no,unknown,95,2,-1,0,unknown,no
56,admin.,married,primary,no,202,yes,no,unknown,178,2,-1,0,unknown,no
58,blue-collar,married,primary,no,-91,yes,no,unknown,164,5,-1,0,unknown,no
60,technician,married,primary,no,65,yes,no,unknown,1028,2,-1,0,unknown,yes
55,services,married,secondary,no,186,yes,yes,unknown,241,1,-1,0,unknown,no
55,blue-collar,married,primary,no,1373,no,no,unknown,1087,2,-1,0,unknown,no
53,management,married,secondary,no,-133,yes,no,unknown,126,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,22,yes,yes,unknown,178,1,-1,0,unknown,no
58,retired,divorced,primary,no,47,yes,no,unknown,225,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,-135,yes,no,unknown,193,2,-1,0,unknown,no
52,blue-collar,divorced,primary,no,-97,yes,yes,unknown,167,4,-1,0,unknown,no
56,blue-collar,married,primary,no,420,yes,no,unknown,76,1,-1,0,unknown,no
